,link,site,category
59,https://times.mw/zimbabwe-to-legalise-industrial-hemp/,times.mw,Cannabis
60,https://www.nyasatimes.com/malawian-hit-headlines-in-ireland-for-taking-marijuana-to-police-to-complain-not-of-good-quality/,www.nyasatimes.com,Cannabis
61,https://www.nyasatimes.com/legal-status-of-hemp-in-malawi-how-govt-decides-which-drugs-are-regulated-or-banned/,www.nyasatimes.com,Cannabis
62,https://www.nyasatimes.com/tag/industrial-hemp/,www.nyasatimes.com,Cannabis
63,https://www.nyasatimes.com/malawi-police-nab-rasta-man-over-hemp-bid-to-legalise-weed/,www.nyasatimes.com,Cannabis
64,https://www.nyasatimes.com/3-kasungu-women-arrested-over-chamba/,www.nyasatimes.com,Cannabis
65,https://www.zodiakmalawi.com/spnws/sports-news/tag/Cannabis%20Regulatory%20Authority,www.zodiakmalawi.com,Cannabis
66,https://www.nyasatimes.com/malawi-should-legalise-indian-hemp-researcher/,www.nyasatimes.com,Cannabis
67,https://www.nyasatimes.com/police-uncovers-over-1000kgs-of-indian-hemp/,www.nyasatimes.com,Cannabis
68,https://www.zodiakmalawi.com/nw/national-news/65-news-in-central-region/3999-four-firms-growing-medicinal-industrial-hemp-cra,www.zodiakmalawi.com,Cannabis
69,https://times.mw/author/yamikani-kachaje/,times.mw,Cannabis
70,https://www.zodiakmalawi.com/stopnkhanza/tag/cannabis,www.zodiakmalawi.com,Cannabis
71,https://www.nyasatimes.com/malawi-rastas-defend-use-weed-14-answer-charges-possession-sacred-commodity/,www.nyasatimes.com,Cannabis
72,https://times.mw/tag/globe-cann-inc/,times.mw,Cannabis
73,https://www.nyasatimes.com/chilima-champions-push-for-medical-marijuana-malawi-veep-says-rope-not-dope/,www.nyasatimes.com,Cannabis
74,https://mwnation.com/police-confiscate-29-bags-of-hemp/,mwnation.com,Cannabis
75,https://www.nyasatimes.com/of-chamba-politics-and-the-pursuit-of-economic-justice/,www.nyasatimes.com,Cannabis
76,https://www.nyasatimes.com/tag/indian-hemp/,www.nyasatimes.com,Cannabis
77,https://www.nyasatimes.com/malawi-police-arrest-woman-arrested-14-bags-chamba/,www.nyasatimes.com,Cannabis
78,https://www.nyasatimes.com/man-arrested-cultivating-chamba/,www.nyasatimes.com,Cannabis
79,https://www.nyasatimes.com/malawi-must-legalise-indian-hemp-says-ras-judah-top-officials-sell-it/,www.nyasatimes.com,Cannabis
80,https://www.nyasatimes.com/legal-hemp-can-boost-malawi-economy-experts/,www.nyasatimes.com,Cannabis
81,https://www.nyasatimes.com/malawi-police-bursts-drugs-cartel/,www.nyasatimes.com,Cannabis
82,https://www.nyasatimes.com/human-rights-ambassadors-to-demonstrate-on-selective-justice-in-the-judiciary-on-july-7-in-lilongwe/,www.nyasatimes.com,Cannabis
83,https://mwnation.com/forum-scholars-take-chamba-debate-to-chanco/,mwnation.com,Cannabis
84,https://www.nyasatimes.com/malawi-legal-hemp-growing-to-start-with-trials-minister/,www.nyasatimes.com,Cannabis
85,https://www.nyasatimes.com/malawi-hemp-association-for-speedy-legislation-to-govern-sector/,www.nyasatimes.com,Cannabis
86,https://www.nyasatimes.com/zambian-arrested-in-malawi-with-17-bags-of-indian-hemp/,www.nyasatimes.com,Cannabis
87,https://mwnation.com/will-industrial-hemp-bring-economic-miracles/,mwnation.com,Cannabis
88,https://times.mw/trade-balance-soars-to-record-629-6-million/,times.mw,Cannabis
89,https://www.nyasatimes.com/courts-orders-destruction-of-chamba-in-kasungu/,www.nyasatimes.com,Cannabis
90,https://mwnation.com/malawi-could-lose-k75bn-industrial-hemp-revenue/,mwnation.com,Cannabis
91,https://www.nyasatimes.com/doctors-warn-smoking-weed-even-just-occasionally-could-increase-risk-of-covid-19/,www.nyasatimes.com,Cannabis
92,https://www.nyasatimes.com/police-nab-two-men-for-smuggling-malawi-hemp-to-mozambique/,www.nyasatimes.com,Cannabis
93,https://times.mw/tag/on-the-debt/,times.mw,Cannabis
94,https://www.nyasatimes.com/malawi-army-soldier-2-others-convicted-over-indian-hemp/,www.nyasatimes.com,Cannabis
95,https://www.nyasatimes.com/malawi-police-arrest-mulanje-man-85-kilograms-chamba/,www.nyasatimes.com,Cannabis
96,https://mwnation.com/anything-goes-in-amsterdam/,mwnation.com,Cannabis
97,https://www.nyasatimes.com/monkey-bay-woman-nabbed-for-possessing-chamba/,www.nyasatimes.com,Cannabis
98,https://www.nyasatimes.com/malawi-cabinet-ministers-smoke-chamba-ras-harawa/,www.nyasatimes.com,Cannabis
99,https://www.nyasatimes.com/chamba-traffickers-arrested-vehicle-broke/,www.nyasatimes.com,Cannabis
100,https://www.nyasatimes.com/gospel-music-icon-thoko-katimba-pens-chakwera-to-free-chamba-convict/,www.nyasatimes.com,chamba
101,https://www.nyasatimes.com/lawyers-offer-to-appeal-on-behalf-of-convicted-chamba-boy/,www.nyasatimes.com,chamba
102,https://www.nyasatimes.com/court-adjourns-chamba-boy-case/,www.nyasatimes.com,chamba
103,https://www.nyasatimes.com/chamba-boy-gets-reduced-sentence-to-3-from-8/,www.nyasatimes.com,chamba
